respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
ad59a20aa16a,0,Service not available,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
e3a86f5851c8,10,Test,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
97cb703146df,4,Service or network problem,General Bad Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
73b0a0e10a78,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
e67ceec29348,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2a70b8f25e44,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
fc095da3d2c1,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
376844305072,2,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
639f816e8c7e,0,Services is not on time means late complaint,No/Late Complaint Resolution,,,Verma,,0,WA,Sprint RSP3,2026-03-01
c8f91e7f5977,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
89dc13a8d47a,10,The best reason is your perfectly service,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
56d94bebd216,8,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1b04404f85ab,9,"The internet is working well so far, and if any issue comes up, it gets resolved quickly. Thank you wiom👍",Fast Complaint Resolution,,,Verma,,0,WA,Sprint RSP3,2026-03-01
ce6ba2f5c6ff,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
641cd3f0a4fa,0,Shi se chal ta nhi h aaj bi band h raat se,Internet Down,,,Verma,,0,CT,Sprint RSP3,2026-03-01
10302e39f393,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
984c96291b2a,0,Sir 30 din ka recharge kara do,28-Day Plan Issue,,,Verma,,0,CT,Sprint RSP3,2026-03-01
fb15895649a0,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
50b28d61d334,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
5b390131ccff,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
12d4a158f59d,10,"The net works very well, I mean very nice.",General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
e42f00410d18,9,Theek hai lekin bich bich mein band Ho jata Hai yah taklif hai,Frequent Disconnections,,,Verma,,0,WA,Sprint RSP3,2026-03-01
f93a3490f790,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
9cae1e5fe42e,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
4751c81568a3,9,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
407e0a6e05f0,1,Sir speed tej kr do prosisng hoti ha vivideo dekhene ma,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
d67e42c24b25,5,Slow internet speed,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
57d943c16673,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
0501d138ea87,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
d6f0f30a8c73,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
9107d1c6d401,0,Slow net,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
7f6bd196bba7,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
87543126de00,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
62c191ddae81,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
3828234c39d7,0,Slow net,Slow Speed,,,Verma,,0,CT,Sprint RSP3,2026-03-01
161839ebdec7,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
d1ad330b4416,0,Slow network,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
f1c8bfec9488,8,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
109bdd1a4135,0,Slow network,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
5d13a830211f,6,Slow networks,Slow Speed,,,Verma,,0,CT,Sprint RSP3,2026-03-01
387067781bea,0,Slow speed,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
fe5e9667e458,0,So pooor service no. Netwrk. So much netwrk issue,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
9fd4de389224,7,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
21f855fb82ab,2,Some time very poor conncetivity,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
60b04c05c878,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
33da5f033db9,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
e41719cf4e70,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2ac8f6b982bb,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
3d8aef89240f,10,Thik hai,General Good Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
527ed2e69cd6,8,"Vaise to speed network sabh budget ke hisab se sahi hai par sabhki apni soch hoti hai to vo konsa wifi lagaye ye to nahi pta per recommend karunga,Mena 8 isliye diya kyuki iske sath koi ott platform wala pack nahi milta if they solve this problem I would give 10 out of 10","OTT Request, No OTT complaint",Affordable,,Verma,,0,WA,Sprint RSP3,2026-03-01
9c54afcd87ce,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
4e68bc834f9e,5,"Some time wifi would be slow and doesnot give properly good speed and in 24 hours it need 2-3 times refresh 
 So thats why",Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
