respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
a4f0e1a8ead1,10,Mast sarvice hai,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
952d6b0d5d58,10,Net acha hai lekin speed kam hai pls speed limit jyada kre jisse dur jake net kaam kre,General Good Service,Slow Speed,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
5a5f1b36096f,10,Net achcha chalta hai,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
57067f11508f,10,Net sahi chalta hai,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
3ce5161468e0,10,,,,,Verma,,45,CT,Sprint 3,2026-08-01
1b947b5b9c2a,10,Network is good.,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
723786fe3fff,10,Nice,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
5c2f4884e66b,7,Nice,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
fdc0a5fab251,10,Nice,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
2013154160a8,9,Nice,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
f88bb7927cc8,10,Nice network,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
d6eb0da1756d,0,Net bahut slow chalta hai aur network hota Hai,Slow Speed,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
cb1f94c70857,10,Ofcourse for sure i will suggest them its a great service and i really loved it,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
64c5f0aec0da,10,Ok no 10 = jarur kehunga legane ke liye par jo rukabt aati hai wo nhi aani chahiye ab se network apna,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
8e1b6d102ede,10,Service good,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
1580a30ce777,10,Tumhare pass service achchi nahi hai,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
60ca445c25cf,10,Very good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
c9e66ab173e5,10,Very good,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
3ec588ab1aad,10,,,,,Verma,,45,CT,Sprint 3,2026-08-01
29ecd38883fd,10,,,,,Verma,,270,CT,Sprint 3,2026-08-01
94fe28653c99,10,,,,,Verma,,270,CT,Sprint 3,2026-08-01
d9d7956ff52c,0,,,,,Verma,,270,CT,Sprint 3,2026-08-01
8ddb87496f5d,10,Vyom ki service best,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
453ab8cfdb8d,10,Wi-Fi achcha chalna,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
2fe1493ec557,10,,,,,Verma,,45,CT,Sprint 3,2026-08-01
9a8b3e3eb459,8,Wiom badiya hai,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
037de2009af1,10,Wiom best h,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
cff3f0ecaaae,10,Wiom net ki service bahut acchi hai,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
64f85b51bf87,10,Wioom network acha he very nice network,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
f288e018e8b3,1,Kyunki yah bahut sasta hai,Affordable,,Good Price,Verma,,270,CT,Sprint 3,2026-08-01
5561f5367545,10,Q ki sabse sasta or network speed osm h,Affordable,Good Speed,Good Price,Verma,,45,CT,Sprint 3,2026-08-01
b00bd9f3d3ae,10,Best internet but customer service very poor,Bad Customer Support - Call Centre,,Bad Cx Support,Verma,,270,CT,Sprint 3,2026-08-01
8b4b7efd754f,10,सैटिस्फ़ाइड,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
10dc991c10bc,4,,,,,Verma,,135,CT,Sprint 3,2026-08-01
60fec612416e,0,"सबसे बेकार कनेक्शन है। महीने में 5 से 8 दिन तो वाई-फाई चलता ही नहीं है।
ऊपर से रिचार्ज का पैसा खराब होता है।
सॉरी, नाराज़ मत होना, पर Wiom का सर्विस बहुत बेकार है।
मेरे चाचा और फूफा के घर भी लगवाया था,",Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
12e235b76e0f,0,,,,,Verma,,270,CT,Sprint 3,2026-08-01
832b66667f4c,0,Ghatiya service,General Bad Service,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
1bc07cc7fda9,10,Good,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
c6fbf854acb3,0,Net hi nhi chalta,General Bad Service,,Bad Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
4c27a0eea3cd,10,Fast internet,Good Speed,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
b098b911d7ad,10,Fast internet connection and good service quick very fast,Good Speed,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
fbee2698ad1f,10,Fast net,Good Speed,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
