feature,verdict,reason,tenure_r,churn_r,fill_overall,fill_gap
tk_tickets_recharge_issue,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.007854472576040036,0.009219887788934858,0.7364507474128018,0.31416106262418403
tk_tickets_freq_disconnect,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.039663864077530836,-0.04471363668403178,0.7364507474128018,0.31416106262418403
tk_tickets_slow_speed,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),-0.042550227303629944,-0.013293835789032834,0.7364507474128018,0.31416106262418403
tk_avg_reopens,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.01962136892119465,0.045963601158939264,0.7364507474128018,0.31416106262418403
tk_avg_resolution_mins,EXCLUDE,Fill-rate leakage — +34pp gap persists in late sprints (+32pp),-0.06581822019174409,0.30433814943474435,0.7245688003066308,0.3413662636577043
tk_tickets_within_tat,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.026396752526115733,-0.1008450131989607,0.7364507474128018,0.31416106262418403
tk_tickets_beyond_2x_tat,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.03073797844154812,0.09857573040223297,0.7364507474128018,0.31416106262418403
tk_avg_customer_calls,EXCLUDE,Near-zero variance — 100% same value,,,0.00843234955921809,0.0016139747153568265
tk_avg_partner_calls,EXCLUDE,Very low fill rate (1%),0.05246954886474146,0.04058269630103406,0.00843234955921809,0.0016139747153568265
tk_avg_ticket_rating,EXCLUDE,Near-zero variance — 100% same value,,,0.0,0.0
tk_tickets_resolved,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.03305959819284692,-0.04195002976125637,0.7364507474128018,0.31416106262418403
speed_gap_severity,CLEAN,Passes all checks,,,0.994557301648141,0.010408237349654459
connection_instability,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.14918893786833373,0.009099371372499361,0.7407435799156765,0.8597969182253248
customer_uptime_tier,REVIEW,"Fill-rate gap RECOVERABLE: overall=+55pp, late sprints=+2pp",,,0.8697585281717133,0.5506467754763354
peak_uptime_gap,REVIEW,"Fill-rate gap RECOVERABLE: overall=+55pp, late sprints=+2pp",0.06280111157076955,0.052313708099475414,0.8697585281717133,0.5506467754763354
tk_sla_compliance,CLEAN,Passes all checks,0.017515695119170917,-0.3710912553522906,1.0,0.0
